conhecimento	escola
indolente	omisso
canhambola	quilombola
constante	freqüente
pretender	visar
calar	mentir
passadio	vivenda
fixar	mandar
bandear-se	passar-se
persigal	presepe
agoirar	profetizar
lembrar-se	relembrar-se
aproximar-se	puxar
amortecer-se	esmaecer
cerrar-se	encangotar-se
falência	falimento
anátema	excomungação
sobreexcedido	ultrapassado
carrancudo	sobrancelhudo
gatear	rapinhar
consolador	solaz
bastonada	bordoada
assombrar	assustar
firme	segurado
caluniar	desonestar
columbino	virgem
diluir	moderar
agência	diligência
deposição	destronização
desembuçar	respirar
afiar	esmerilar
apoiar	laurear
firmeza	seguridade
gastar-se	ir-se
aprumar-se	perfilar-se
abstruso	esconso
agitar	desassossegar
depreciar	desfavorecer
base	fundação
precatadamente	prevenidamente
alardear-se	gargantear
pequeno	pequerrucho
pundonoroso	reto
desenxabimento	mornidão
acabar	executar
esticar	inteiriçar
caronear	desvairar
endoidecer	endoudar
algazarra	babel
pressuposto	pretexto
progressão	progresso
espicaçar	magoar
arrojado	intérrito
enlear	enredar
luxurioso	obsceno
desabotinado	estoirado
comandar	conduzir
apagar	debotar
contar	dizer
maciar	mitigar
desvanecer	varrer
banhar-se	lavar-se
aparado	aposto
afetível	simpático
desaparecer-se	perder-se
açoiteira	chicote
carteira	escrivaninha
apontar	extravasar
amarfanhar	torturar
adelgaçar	engoiar-se
molecada	pirralhada
extravasar	redundar
descapacitar-se	desimaginar-se
silencioso	taciturno
ascoroso	nauseabundo
destinar	empregar
elucidar	explicar
pandilha	pandilheiro
ceder	diminuir
migalha	migalho
refrear-se	vencer-se
amolar	massacrar
aprisionar	pegar
palatal	palatinal
insuperável	invencível
infindo	infinito
alegre	travesso
rateio	repartição
enfatuamento	entufamento
espanar	espoar
asselvajado	rude
aldeia	póvoa
subtilidade	talento
amontoar	conglobar
acontecimento	evento
aspecto	traço
patrono	protetor
obsediar	rascar
denunciar	revelar
desadorar	intoxicar
apisoar	suplantar
atinado	ponderado
deportado	êxule
desavergonhado	petulante
afrouxar	malear
malcontente	triste
mazanza	zopeiro
alfaiado	engalanado
deslisar	turibular
alúvio	inundação
cacerenga	caxirenguengue
doca	zerê
arribana	rancho
colorear	sazonar
eremita	ermita
encurvar-se	prostrar-se
brilhantismo	majestade
arreado	empenado
desperdiçante	esperdiçante
traça	traçado
desonestar	infamar
sugerir	suscitar
alentado	encorajado
hora	tempo
encasamento	engrenamento
decaída	decaimento
embrenhar-se	fundir-se
descurar	desleixar
cingir	coagir
excelência	magnificência
flagelação	martirização
execrável	trasvisto
abrigar	garantir
desenlambuzar	mundificar
nauseante	nauseoso
galardoar	pagar
escusar-se	ressalvar-se
roubar	sonegar
sandio	tolo
aformosear	embrincar
dividir	ratear
transferir	transpassar
alquebrado	debilitado
idéia	mente
aplicar	empregar
desflorescimento	fenecimento
alanhar	ansiar
luzir	prefulgir
atarraxar	tarraxar
rever-se	ver-se
dignidade	gravidade
iludir	velhaquear
acobardado	atemorado
modicar	sopitar
gastador	perdulário
acordar	concitar
lapidificação	petrificação
admirado	banzado
cerzir	intervalar
prorrogar-se	protrair-se
apezinhar	desconsiderar
extravagante	incrível
azoretar	estontecer
esplender	resplender
atraiçoado	engazopado
desfechar	finalizar
botar	embotar
garotar	vagamundear
consternação	pesadume
exoneração	isenção
aluir	dirruir
entranqueirar	fortificar
encher	enquizilar
assoberbante	fatigante
cadaveroso	mortuoso
rabo	rasto
adversidade	contratempo
afiambrar	galanear
pilhar	saquear
fumarar	vaporar
abodegar	enquizilar
apoquentar	causticar
acerbidade	austeridade
devorar	dilapidar
destoante	malsoante
esporada	ferroada
animoso	brioso
extra-sensível	ultra-sensível
escolher	seletar
lançar	projetar
endeusar-se	enfunar-se
alto	exímio
cediço	prosaico
desvanecer-se	garguitear
desmodorrar	excitar
concepção	formulação
coruscar	lustrar
chocho	pacóvio
haraganar	preguiçar
correto	probo
pejado	vergonhoso
afeiar	desguarnecer
extraordinário	invulgar
esvaecer	expungir
fiscalizar	patrulhar
baldio	improducente
balcedoso	lameirento
apascentar-se	folgazar
azoeirado	embaraçado
alojamento	instalação
deitar	pôr
desmelhorar	minar
encostar	zurzir
exalar	externar-se
gatimonha	micagem
embalançar	menear
arranhão	raspão
ainda	demais
comer	nutrir-se
bambalhão	preguicento
afastar	retirar
auricomado	aurícomo
entenebrecer	sombrear
desassombrado	foito
amadurar-se	amadurecer-se
antitético	oposto
compor	unir
acasmurrado	porfiado
adiposidade	corpulência
investigar	perquirir
devoção	entrega
agradável	macio
septuagenário	setuagenário
adereçado	aparamentado
fabuloso	quimérico
apavorar	espavorizar
capengante	carapé
agastadiço	tomadiço
apodrecer	desconsertar
fortalecer-se	renovar-se
cativante	sedutor
desencontrar	dissentir
noitada	noutada
desbravar	domesticar
versejar	versificar
compungir	entristecer
carregado	intenso
prescrição	provisão
agenda	caderneta
enaltar	levantar
afouto	teso
aferrado	insistente
carneiro	ossuário
rigidez	severidade
delapidar	entornar
palmar	roubar
absolver	escusar
bengalada	sarrafada
aquecer	indignar
conglobar	reunir
quitar-se	separar-se
imprimir	tipografar
encoimar	increpar
estufa	fogão
argentado	prateado
arremessar	propelir
abrilhantado	adereçado
