a-bê-cê	abecedário
ab-rogar	esfazer
aba	beirada
ababadar	arrepanhar
ababadar-se	repanhar-se
ababelado	desarrumado
ababelar	unir
ababelar-se	unir-se
ababocado	mazanza
abacelar	embacelar
abacto	abigeato
abadiva	badejo
abafadiço	pesado
abafado	enfrenado
abafador	abafante
abafar	calar
abafar-se	acobertar-se
abafação	ocultação
abainhar	embainhar
abaixamento	acaçapamento
abaixante	aviltante
abaixar	acocorar
abaixar-se	aplainar-se
abajoujado	hebetizado
abajur	lucivelo
abalada	disparada
abalado	inseguro
abaladura	abalamento
abalançar	estimular
abalar	tumultuar
abalar-se	impressionar-se
abalienado	delirante
abalizado	consumado
abalizar	assinalar
abaloado	pando
abalofado	arrebicado
abalofar	fofar
abalroada	colisão
abalroar	contender
abalroar-se	tocar-se
abalsar	embalçar
abalsar-se	meter-se
abanamento	agitação
abananado	apombocado
abanar	balouçar
abandalhado	amariolado
abandalhamento	enxovalhamento
abandalhar-se	aviltar-se
abandar	apartar
abandonamento	desprendimento
abandonar	negar
abandonar-se	descurar-se
abandono	arrenegação
abanicar-se	refrescar-se
abaratar	abaratear
abaratear	rebaixar
abarbar	sobrecarregar
abarbar-se	aplainar-se
abarbarado	corajoso
abarcamento	abrangência
abarcante	açambarcador
abarcar	atinar
abarracado	acampado
abarracar	acampar
abarrancar	represar
abarregar-se	juntar-se
abarreirar	ingurgitar
abarreirar-se	resguardar-se
abarrotado	superlotado
abarrotamento	atafulhamento
abarrotar	preencher
abarrotar-se	cumular-se
abaré	padre
abas	adjacências
abasbacar	trepidar
abastadear	desdizer
abastado	ourudo
abastança	abundância
abastar-se	aperceber-se
abastardamento	bastardia
abastecer	fornecer
abastecer-se	açalmar-se
abastecido	aparelhado
abastoso	adinheirado
abatedoiro	abatedouro
abater	desapear
abater-se	inferiorizar-se
abatido	rebaixado
abatimento	quebrantamento
abatocado	atapulhado
abatocar	tapar
abatumado	abetumado
abaulado	acurvado
abaçanado	trigueiro
abaçanar	desdourar
abduzir	arrancar
abduzir-se	afastar-se
abeberar	desalterar
abegão	campônio
abeirante	rente
abeirar-se	unir-se
abelhudar	sondar
abelhudice	intromissão
abelhudo	metido
abemolar	ceder
abemolar-se	afetar-se
abençoadeiro	benzedor
abençoar	bendizer
aberrativo	anômalo
aberta	abertão
abertal	abertiço
aberto	aprofundado
abertura	vau
abespinhado	sanhoso
abespinhar	encolerizar
abespinhar-se	esturrar-se
abespinhável	anojadiço
abestalhado	atroado
abetumar	argamassar
abicar	aguçar
abichado	bichoso
abichar	pilhar
abilolado	desabotinado
abio	abiu
abiscoitar	arranjar
abismado	estupefato
abismamento	assombro
