falso	frustratório
verdadeiro	verídico
a-bê-cê	abecedário
ab-rogamento	cassação
ab-rogar	esfazer
ab-rogação	cancelamento
aba	beirada
ababadar	arrepanhar
ababadar-se	repanhar-se
ababalhar	espumar
ababelado	desarrumado
ababelar	unir
ababelar-se	unir-se
ababocado	mazanza
abacelar	embacelar
abacial	abadengo
abacinado	baço
abacinar	embaciar
abacisco	alguergue
abacto	abigeato
abactor	abígeo
abadado	abadiado
abadanar	embaçar
abade	pároco
abadejo	abadiva
abadengo	abatino
abadesco	abatino
abadessa	prelada
abadia	mosteiro
abadiva	badejo
abafadela	abafadura
abafadiço	pesado
abafado	enfrenado
abafador	abafante
abafadura	abafamento
abafamento	sufocamento
abafante	afogativo
abafar	calar
abafar-se	acobertar-se
abafativo	abochornador
abafação	ocultação
abafo	asfixia
abagunçado	desordenado
abainhado	orlado
abainhar	embainhar
abaixa-luz	pantalha
abaixa-língua	cataglosso
abaixado	demisso
abaixador	diminuidor
abaixamento	acaçapamento
abaixante	aviltante
abaixar	acocorar
abaixar-se	aplainar-se
abaixo	descensionalmente
abaixo-assinado	subscrição
abajoujado	hebetizado
abajur	lucivelo
abalada	disparada
abaladiço	impressível
abalado	inseguro
abaladura	abalamento
abalamento	abalo
abalançado	temerário
abalançamento	impulso
abalançar	estimular
abalançar-se	arrojar-se
abalar	tumultuar
abalar-se	impressionar-se
abaldeirado	albardeiro
abaldeiro	albardeiro
abalienado	delirante
abalizado	consumado
abalizamento	balizagem
abalizar	assinalar
abalo	tranco
abaloado	pando
abalofado	arrebicado
abalofar	fofar
abalofar-se	afofar-se
abalonado	enfunado
abalroada	colisão
abalroamento	encontrada
abalroar	contender
abalroar-se	tocar-se
abalroação	abalroada
abalsar	embalçar
abalsar-se	meter-se
abaluartamento	encastelamento
abana-moscas	nada
abanadela	sacudidela
abanado	atiçado
abanador	enxota-moscas
abanadura	refrescamento
abanamento	agitação
abananado	apombocado
abanar	balouçar
abanar-se	ventilar-se
abanação	tremor
abancar-se	assentar-se
abandalhado	amariolado
abandalhamento	enxovalhamento
abandalhar	avilar
abandalhar-se	aviltar-se
abandalhação	acafajestamento
abandar	apartar
abandear	aconfradar
abandeirado	embandeirado
abandeirar	embandeirar
abandidar-se	agatunar-se
abandonado	largado
abandonamento	desprendimento
abandonar	negar
abandonar-se	descurar-se
abandono	arrenegação
abanicar	ventilar
abanicar-se	refrescar-se
abanico	flabelo
abano	sacudida
abantesma	assombração
abanão	safanão
abaratar	abaratear
abaratear	rebaixar
abarbado	assoberbado
abarbar	sobrecarregar
abarbar-se	aplainar-se
abarbarado	corajoso
abarca	sandália
abarcador	monopolista
abarcamento	abrangência
abarcante	açambarcador
abarcar	atinar
abarcia	aplestia
abarracado	acampado
abarracamento	alojamento
abarracar	acampar
abarrancar	represar
abarregar	amigar
abarregar-se	juntar-se
abarreirar	ingurgitar
abarreirar-se	resguardar-se
abarrocar	obturar
abarrotado	superlotado
abarrotamento	atafulhamento
abarrotar	preencher
abarrotar-se	cumular-se
abaruna	padre
abaré	padre
abarém	aberém
abas	adjacências
abasbacar	trepidar
abasbacar-se	assombrar-se
abastadear	desdizer
abastado	ourudo
abastamento	abastança
abastança	abundância
abastar	dar
abastar-se	aperceber-se
abastardamento	bastardia
abastardar	bastardar
abastardar-se	degenerar-se
abastardear	ilegitimar
abastardear-se	decompor-se
abastecedor	provisor
abastecer	fornecer
abastecer-se	açalmar-se
abastecido	aparelhado
abastecimento	provisão
abastonar-se	arrimar-se
abastoso	adinheirado
abatatado	largo
abate	redução
abatedoiro	abatedouro
abatedouro	matadouro
abater	desapear
abater-se	inferiorizar-se
abatido	rebaixado
