biotipológico	tipológico
desaferrar	soltar
porqueira	chafurdeiro
estatelamento	estiramento
cravejamento	embutimento
estanque	vedação
trastejar	tremular
cúmulo	pique
varejista	retalhista
inferência	depreensão
exploração	parasitismo
ativar	vivificar
regerar	reproduzir
cultivador	lavrador
dilapidação	prodigalidade
cumpliciar	acumpliciar
azul	ébrio
crespar	encarapinhar
sobrecarga	sobrepeso
ucha	tulha
modelado	organizado
dzeta	zeta
abolorecimento	mofo
desencapar	desenfardar
açudagem	açudamento
bigúmeo	bigume
sápido	gostoso
mocinha	moçoila
adiaforista	adiaforístico
penderulho	penduricalho
olorado	perfumoso
resplandente	resplendente
encourado	encoirado
real	vero
equiparação	nivelação
lacaio	volante
mediocrizar	vulgar
comensurar	igualar
subúrbio	vizinhança
quotizável	cotizável
descentralizável	decentralizável
percutir	repulsar
sobreintender	zelar
isossísmico	isossista
robustecer	tonificar
errático	vagante
veloso	veludo
economia	parcimônia
espaventar-se	sobressaltar-se
arriação	descida
incorporante	incorporativo
foiciforme	falcular
subalimentado	subnutrido
aguarelado	aquarelado
desproporcional	desproporcionado
transversal	transverso
derrabar-se	descaudar-se
quebrantamento	quebranto
pilheta	gamela
dédalo	labirinto
exsudar	lentejar
elevação	rebitagem
redoiça	retouça
emporcar-se	nodoar-se
pisoar	socalcar
inclusão	inserção
lavático	lavativo
hórrido	temerso
mitene	punhete
mentira	xodó
polinário	polinar
purificação	sublimação
postergado	preterido
apojadura	amojo
pisar	vincular
reduplicar	redobrar
asquerosidade	imundícia
ancila	serva
enrabichado	namorado
inserido	inserto
inatingível	inalcançável
edentulado	edentado
vendaval	tufão
rebocar	reboquear
arrumadeira	camareira
impenitência	impunidade
auto-adesivo	autocolante
amesurar-se	reprimir-se
castelo	fortaleza
descomprimir	esbambear
decoral	decorativo
espenicado	depenado
urtigar	urticar
hormonal	hormônico
detective	policial
umidificar-se	lentar-se
sauna	forno
verossimilhança	verissimilhança
desumanamente	impiedosamente
desdemoniar	eliciar
civilizado	delicado
rodilha	rodouça
alicerçar-se	apoiar-se
subdelegante	subdelegador
corolário	depreensão
varado	encalhado
mixe	mixo
fração	parcela
sindicado	investigado
soberba	sobranceria
baile	dança
anímico	psíquico
decriptar	descodificar
atomístico	atômico
moita	mouta
cobertura	tapação
cimentado	acimentado
lantejoular	lentejoular
enfunar-se	orgulhar-se
editorar	publicar
tentável	tentativo
analgésico	análgico
dócil	flexível
nervosidade	nervosismo
muxinga	vergalho
soalhar	veicular
desaproveitado	perdulário
alegrador	alegrativo
chapar-se	estirar-se
condenação	sentença
visível	visivo
estandardização	padronização
lugente	suspiroso
agraciamento	honraria
mentado	recordado
barganteria	trapaça
embasbacar	oscilar
pitoresco	pictórico
pavesar-se	vangloriar-se
estatuário	estatucional
percentagem	porcentagem
dano	estrago
antipatizar	implicar
barbiloiro	barbilouro
aguarentar	diminuir
enganar-se	lograr-se
desintrincrar-se	simplificar-se
extorsão	roubo
birote	pericote
dessimétrico	dissimétrico
teórico	utopista
desencurralar	desacuar
adumbrar	debuxar
escarpadura	escarpamento
briquitar	labutar
desacorçoado	desencorajado
ronceiro	zopo
florear	floretear
folhar	folhear
previdência	previsão
mio	miado
ápice	topo
seccionar	separar
descrido	ímpio
costas	lombo
refutativo	refutatório
comicidade	risibilidade
espiritista	espírita
burocracial	burocrático
rapinação	razia
divorciar	vastar
respiga	respigadura
lombada	lombo
mediocridade	regularidade
incorruptível	incorrutível
necessariamente	obrigatoriamente
transfeito	transformado
enfeitiçamento	sedução
estandardizado	padronizado
enfezamento	ira
gabinardo	sobretudo
querelado	acusado
merecidamente	devidamente
naturalidade	origem
particular	privado
ciumento	zeloso
xixica	propina
menoscabar	rebaixar
fundir	prodigalizar
desbocar	efundir
atrapalhar-se	enlinhar-se
originar-se	transverberar
sobrelevar	suplantar
enterro	sepultura
rebordo	bordo
farelada	rebotalho
corográfico	ctonográfico
amarra	corrente
bá	pajem
falir	quebrar
apalpação	tateamento
requebrar	sacudir
lantejoilar	lantejoular
deslumbrante	fastuoso
escrito	redigido
devotamente	religiosamente
gordalhudo	gorduchão
desfiar	esgarçar
sisudez	sisudeza
maiormente	nomeadamente
mocambo	tijupar
desumidificador	desumectante
boicera	tomento
encerebrar	memorizar
expoente	representante
amestramento	domesticação
golada	trago
tíquete-refeição	vale-refeição
reposição	recomposição
abrigadoiro	acolhida
gazetário	gazetal
extenuação	prostração
escorraçar	espancar
angariado	granjeado
modernizar	renovar
adjetivar	qualificar
flutuar	patetear
recuar	refugir
detonação	disparo
assaltear	tomar
anuliforme	anuloso
suíças	suíça
certificado	comprovante
caquinar	casquinar
tratada	velhacaria
zoolatria	zoomania
anestesiador	anestesista
devotado	entregue
túbulo	tubinho
jaqueta	jaleca
desencasacar	escarolar
empuxar	impelir
dissuadir	tirar
fisicoterápico	fisioterápico
invulnerado	são
valorar	valorizar
rixoso	rusguento
eletrola	vitrola
loisa	quadro-negro
vergonha	vexação
alceamento	elevação
barbárico	bruto
lusitanismo	portuguesismo
fumarento	fumacento
iriante	irisante
emendativo	emendador
fedido	fedorento
dextrômano	destrímano
raiva	zanga
expectante	expetante
captador	captante
psicologizar	psicologar
peitoril	parapeito
cotó	derrabado
desnaturalizante	desnaturante
toar	tocar
convictamente	firmemente
